sample	cohort	sequencer
SRR12641740.rna.1	Control	BGI500_1
SRR12720856.rna.1	Case	BGI500_1
SRR12720792.rna.1	Case	BGI500_1
SRR12720852.rna.1	Case	BGI500_1
SRR12641746.rna.1	Control	BGI500_1
SRR12720809.rna.1	Case	BGI500_1
SRR12720833.rna.1	Other	BGI500_1
SRR12720839.rna.1	Other	BGI500_1
SRR12720858.rna.1	Case	BGI500_1
SRR12720795.rna.1	Case	BGI500_1
SRR12720794.rna.1	Case	BGI500_1
SRR12720849.rna.1	Case	BGI500_1
SRR12641742.rna.1	Control	BGI500_1
SRR12641768.rna.1	Control	BGI500_1
SRR12641747.rna.1	Control	BGI500_1
SRR12641751.rna.1	Control	BGI500_1
SRR12720817.rna.1	Case	BGI500_1
SRR12720825.rna.1	Case	BGI500_1
SRR12720802.rna.1	Case	BGI500_1
SRR12720844.rna.1	Case	BGI500_1
SRR12720837.rna.1	Case	BGI500_1
SRR12720827.rna.1	Case	BGI500_1
SRR12720793.rna.1	Case	BGI500_1
SRR12641748.rna.1	Control	BGI500_1
SRR12641754.rna.1	Control	BGI500_1
SRR12720815.rna.1	Case	BGI500_1
SRR12720807.rna.1	Other	BGI500_1
SRR12720824.rna.1	Other	BGI500_1
SRR12720796.rna.1	Other	BGI500_1
SRR12720847.rna.1	Other	BGI500_1
SRR12641749.rna.1	Control	BGI500_1
SRR12720804.rna.1	Case	BGI500_1
SRR12641757.rna.1	Control	BGI500_1
SRR12720826.rna.1	Case	BGI500_1
SRR12720838.rna.1	Other	BGI500_1
SRR12720857.rna.1	Other	BGI500_1
SRR12720853.rna.1	Other	BGI500_1
SRR12641762.rna.1	Control	BGI500_1
SRR12720811.rna.1	Case	BGI500_1
SRR12641744.rna.1	Control	BGI500_1
SRR12720831.rna.1	Other	BGI500_1
SRR12720843.rna.1	Other	BGI500_1
SRR12720841.rna.1	Case	BGI500_1
SRR12720813.rna.1	Other	BGI500_1
SRR12720816.rna.1	Other	BGI500_1
SRR12720810.rna.1	Case	BGI500_1
SRR12720851.rna.1	Case	BGI500_1
SRR12641766.rna.1	Control	BGI500_1
SRR12720842.rna.1	Case	BGI500_1
SRR12720818.rna.1	Case	BGI500_1
SRR12641758.rna.1	Control	BGI500_1
SRR12720840.rna.1	Other	BGI500_1
SRR12641753.rna.1	Control	BGI500_1
SRR12720828.rna.1	Other	BGI500_1
SRR12641763.rna.1	Control	BGI500_1
SRR12720855.rna.1	Case	BGI500_1
SRR12641743.rna.1	Control	BGI500_1
SRR12641764.rna.1	Control	BGI500_1
SRR12720850.rna.1	Case	BGI500_1
SRR12720846.rna.1	Case	BGI500_1
SRR12641755.rna.1	Control	BGI500_1
SRR12720819.rna.1	Case	BGI500_1
SRR12720845.rna.1	Case	BGI500_1
SRR12720829.rna.1	Case	BGI500_1
SRR12641767.rna.1	Control	BGI500_1
SRR12720822.rna.1	Case	BGI500_1
SRR12720808.rna.1	Other	BGI500_1
SRR12641738.rna.1	Control	BGI500_1
SRR12720798.rna.1	Other	BGI500_1
SRR12641752.rna.1	Control	BGI500_1
SRR12641756.rna.1	Control	BGI500_1
SRR12720823.rna.1	Case	BGI500_1
SRR12720812.rna.1	Case	BGI500_1
SRR12641760.rna.1	Control	BGI500_1
SRR12720799.rna.1	Case	BGI500_1
SRR12720805.rna.1	Case	BGI500_1
SRR12641739.rna.1	Control	BGI500_1
SRR12720854.rna.1	Other	BGI500_1
SRR12720830.rna.1	Other	BGI500_1
SRR12720834.rna.1	Case	BGI500_1
SRR12641741.rna.1	Control	BGI500_1
SRR12720836.rna.1	Case	BGI500_1
SRR12720848.rna.1	Case	BGI500_1
SRR12720821.rna.1	Case	BGI500_1
SRR12641750.rna.1	Control	BGI500_1
SRR12720835.rna.1	Other	BGI500_1
SRR12720814.rna.1	Case	BGI500_1
SRR12720820.rna.1	Case	BGI500_1
SRR12720797.rna.1	Case	BGI500_1
SRR12641761.rna.1	Control	BGI500_1
SRR12641759.rna.1	Control	BGI500_1
SRR12720800.rna.1	Case	BGI500_1
SRR12641745.rna.1	Control	BGI500_1
SRR12720801.rna.1	Other	BGI500_1
SRR12641765.rna.1	Control	BGI500_1
SRR12720832.rna.1	Case	BGI500_1
SRR12720803.rna.1	Other	BGI500_1
SRR12720806.rna.1	Case	BGI500_1
