sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL15.Test188	6836	23	28263	46	94.5156	134	59	0.9619
RL15.Test93	453	35	29116	70	97.3682	137	56	18.4056
RL15.Test55	6966	23	28949	46	96.8097	125	59	1.0598
RL15.Test135	1977	41	22229	82	74.3370	117	53	2.9438
RL15.Test190	16462	25	28288	50	94.5992	119	56	0.3351
RL15.Test165	2235	21	28916	42	96.6993	140	56	3.7766
RL15.Test178	5785	26	27668	52	92.5258	139	56	1.3606
RL15.Test96	3582	18	29141	36	97.4518	145	47	2.4427
RL15.Test122	716	8	29864	16	99.8696	160	56	12.0045
RL15.Test108	17483	11	29228	22	97.7427	132	56	0.3202
RL15.Test52	7811	23	28131	46	94.0742	138	56	0.5341
RL15.Test23	2137	15	29515	32	98.7025	155	56	2.4999
RL15.Test198	715	22	28720	44	96.0439	126	47	10.6971
RL15.Test33	3650	8	29222	16	97.7226	157	59	1.7441
RL15.Test180	2560	27	28848	54	96.4719	124	27	2.1177
RL15.Test36	876	37	13679	74	45.7446	86	12	5.0359
RL15.Test100	9678	21	26987	42	90.2485	135	56	0.7361
RL15.Test170	13829	6	29534	12	98.7660	145	56	0.2447
RL15.Test74	2835	24	28423	48	95.0507	101	56	2.6371
RL15.Test26	1648	16	28645	32	95.7931	126	50	5.1740
RL15.Test71	18542	13	29648	26	99.1472	169	56	0.2115
RL15.Test152	564	13	29482	26	98.5921	122	59	14.8423
RL15.Test68	4636	5	29816	10	99.7091	143	56	1.3179
RL15.Test176	5128	10	29483	20	98.5955	136	36	1.3335
RL15.Test48	1608	9	29653	18	99.1640	139	56	5.1958
RL15.Test106	1000	10	29801	20	99.6589	147	56	8.1854
RL15.Test153	13838	10	29769	20	99.5519	134	56	0.2474
RL15.Test127	2632	23	28659	46	95.8399	124	59	3.2814
RL15.Test73	6287	38	24517	76	81.9884	97	62	0.9346
RL15.Test159	3341	5	29816	10	99.7091	150	56	2.3137
RL15.Test24	2565	22	8432	44	28.1978	50	35	0.6568
RL15.Test5	2884	41	23163	84	77.4605	123	53	2.3253
RL15.Test21	11921	22	28626	44	95.7295	137	56	0.2477
RL15.Test76	10301	3	29711	6	99.3579	110	56	0.6851
RL15.Test47	1763	12	29376	24	98.2376	111	53	4.9309
RL15.Test31	670	26	29052	52	97.1541	147	56	13.1383
RL15.Test67	23335	36	25462	72	85.1486	136	53	0.1404
RL15.Test34	3537	12	29614	24	99.0335	144	56	1.9646
RL15.Test186	2255	23	28711	46	96.0138	95	59	3.0111
RL15.Test60	13754	1	29858	2	99.8495	125	53	0.2457
RL15.Test40	5462	1	29861	2	99.8595	125	53	1.5308
RL15.Test123	1254	4	29813	8	99.6990	155	56	6.1118
RL15.Test69	515	30	26646	60	89.1081	123	62	14.1967
RL15.Test49	3961	33	27816	66	93.0208	91	53	1.9919
RL15.Test157	579	7	29711	14	99.3579	152	56	15.0318
RL15.Test129	7828	10	29828	20	99.7492	130	56	0.5637
RL15.Test94	1350	8	29644	16	99.1339	137	56	5.8635
RL15.Test91	2350	23	28599	46	95.6392	122	56	3.2229
RL15.Test115	2681	53	25066	108	83.8244	116	59	2.7070
RL15.Test196	4051	29	28579	58	95.5724	161	47	2.1501
RL15.Test145	4678	42	24209	84	80.9584	93	53	1.1058
RL15.Test107	1290	3	29864	6	99.8696	139	53	5.1885
