sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL13.Test151	11532	37	27940	74	93.4354	132	56	0.2490
RL13.Test174	13625	3	29817	6	99.7124	157	56	0.2466
RL13.Test48	3099	20	29163	40	97.5253	146	56	2.2583
RL13.Test161	6267	20	29507	40	98.6757	120	56	1.1138
RL13.Test37	9578	39	24526	78	82.0185	114	56	0.4207
RL13.Test80	549	31	26195	62	87.5999	140	56	12.8600
RL13.Test115	11822	14	29646	28	99.1406	137	53	0.2629
RL13.Test12	2998	27	28534	54	95.4219	110	53	1.9862
RL13.Test162	906	17	28023	34	93.7130	134	56	6.9700
RL13.Test74	4614	40	21242	80	71.0364	78	53	1.1342
RL13.Test152	1031	10	29854	20	99.8361	148	56	7.5168
RL13.Test19	569	21	29073	42	97.2244	126	59	11.9085
RL13.Test54	9437	18	27848	36	93.1278	140	57	0.4819
RL13.Test117	21307	25	29219	50	97.7126	113	53	0.1719
RL13.Test179	19650	26	27342	52	91.4356	118	56	0.1651
RL13.Test84	979	13	29446	26	98.4717	119	59	8.3071
RL13.Test178	5466	26	27276	52	91.2149	121	56	1.2077
RL13.Test132	3010	31	28216	62	94.3584	122	56	2.3206
RL13.Test18	1216	38	28069	76	93.8668	137	56	4.9526
RL13.Test50	182	21	28675	42	95.8934	131	56	35.4533
RL13.Test70	11817	18	29323	36	98.0604	122	56	0.4575
RL13.Test67	1319	28	28502	56	95.3149	140	53	6.2198
RL13.Test42	520	36	26659	74	89.1516	137	18	14.5320
RL13.Test2	85	37	27779	74	92.8970	119	59	65.4583
RL13.Test49	950	5	29862	10	99.8629	132	53	6.4839
RL13.Test131	1430	11	29648	22	99.1472	128	53	5.7030
RL13.Test32	13057	15	29749	30	99.4850	135	56	0.4172
RL13.Test75	19997	39	23502	78	78.5941	95	44	0.1363
RL13.Test39	2835	42	19420	84	64.9433	102	44	2.1545
RL13.Test142	3018	18	29537	36	98.7760	103	59	2.4720
RL13.Test76	6150	33	27896	66	93.2883	153	56	1.1283
RL13.Test124	298	33	27829	66	93.0642	130	47	27.3526
RL13.Test55	1350	20	29253	40	97.8263	150	56	5.4302
RL13.Test83	2191	40	25006	80	83.6237	127	56	3.6490
RL13.Test91	1857	39	27055	78	90.4759	99	56	3.6193
RL13.Test68	964	42	18987	84	63.4953	65	44	5.5332
RL13.Test56	815	41	16655	82	55.6968	70	9	6.2201
RL13.Test194	3142	8	29482	16	98.5921	154	59	2.0619
RL13.Test188	785	48	27542	96	92.1045	142	56	9.7853
RL13.Test116	5065	18	29698	36	99.3145	140	56	1.5063
RL13.Test141	760	45	22662	90	75.7850	113	59	8.3201
RL13.Test189	5402	27	28658	54	95.8365	127	56	1.2194
RL13.Test17	1797	33	26605	68	88.9710	119	47	3.2727
RL13.Test129	1549	36	24248	72	81.0889	120	58	4.3509
RL13.Test198	1327	5	29859	10	99.8529	139	53	5.2833
RL13.Test102	12296	21	28554	42	95.4887	139	56	0.2465
RL13.Test199	1759	50	22491	100	75.2132	54	18	2.7278
