sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL12.Test58	8833	22	8107	44	27.1110	41	35	0.1483
RL12.Test147	867	45	26361	90	88.1550	148	56	7.4415
RL12.Test17	1196	37	28338	74	94.7664	137	56	6.4221
RL12.Test113	2268	5	29809	10	99.6857	153	56	3.1824
RL12.Test90	3894	8	29862	16	99.8629	144	56	1.6285
RL12.Test43	275	17	29438	34	98.4450	142	53	27.7449
RL12.Test184	388	36	27076	72	90.5461	111	27	21.9093
RL12.Test73	1397	38	26713	76	89.3322	134	53	6.0394
RL12.Test177	1952	21	28597	44	95.6325	116	54	3.7084
RL12.Test193	9170	35	13325	70	44.5607	74	30	0.2340
RL12.Test14	184	17	29515	34	98.7025	156	56	40.3211
RL12.Test168	1088	39	15299	78	51.1621	67	18	3.5418
RL12.Test77	11550	21	28835	42	96.4285	155	59	0.4232
RL12.Test105	6669	35	27326	70	91.3821	146	56	0.9698
RL12.Test137	1975	7	29690	14	99.2877	156	56	4.4211
RL12.Test128	2644	4	29864	8	99.8696	143	57	3.0629
RL12.Test114	577	38	26161	76	87.4862	112	47	13.8381
RL12.Test101	1101	13	29267	26	97.8731	126	59	7.6428
RL12.Test44	11161	32	11318	64	37.8490	31	9	0.1825
RL12.Test59	1268	37	14482	74	48.4299	44	44	2.8072
RL12.Test13	6610	24	27459	48	91.8269	85	36	0.9795
RL12.Test74	8091	15	29707	30	99.3445	118	62	0.8953
RL12.Test162	526	30	11211	60	37.4912	44	35	6.6866
RL12.Test51	8826	41	20840	82	69.6920	89	47	0.3807
RL12.Test183	2426	17	29114	34	97.3615	118	56	3.6820
RL12.Test47	1543	18	5479	36	18.3226	24	9	0.8962
RL12.Test194	3251	12	29737	24	99.4449	155	56	2.1220
RL12.Test122	11614	4	1133	8	3.7889	5	0	0.0099
RL12.Test154	9460	34	15656	68	52.3560	64	35	0.2706
RL12.Test70	7963	17	5781	34	19.3325	22	10	0.1089
RL12.Test175	11836	19	29196	38	97.6357	131	59	0.2585
RL12.Test171	1532	26	27493	52	91.9406	157	56	5.2456
RL12.Test160	297	44	20744	88	69.3710	105	47	22.8645
RL12.Test55	2155	46	22036	92	73.6916	117	21	1.9063
RL12.Test145	192	12	29494	24	98.6322	151	53	30.2751
RL12.Test120	18222	29	27795	58	92.9505	132	33	0.2014
RL12.Test200	1903	39	17114	78	57.2317	59	47	2.4494
RL12.Test93	8043	11	29560	22	98.8530	140	56	0.9286
RL12.Test141	249	36	23454	72	78.4336	110	47	23.0000
RL12.Test40	730	30	28219	60	94.3685	128	53	9.6335
RL12.Test62	2936	10	29751	20	99.4917	136	53	2.3379
RL12.Test10	891	29	28912	58	96.6860	150	56	8.8886
RL12.Test66	7381	38	26237	76	87.7404	113	62	0.9128
RL12.Test6	9355	28	10702	56	35.7891	67	44	0.1847
RL12.Test97	1490	45	17177	90	57.4424	69	44	3.3918
RL12.Test22	9458	46	20236	92	67.6721	107	47	0.3591
RL12.Test2	11620	21	29167	42	97.5387	88	53	0.2556
RL12.Test26	1165	31	27059	62	90.4892	117	44	6.8498
RL12.Test153	13555	33	27290	66	91.2617	119	56	0.2302
RL12.Test107	1366	33	16844	66	56.3288	97	53	2.7534
RL12.Test135	2944	6	29853	12	99.8328	137	53	2.7016
RL12.Test94	1155	41	21786	82	72.8556	103	44	5.6300
RL12.Test131	334	41	19534	82	65.3245	94	47	15.0596
RL12.Test150	15000	41	24986	82	83.5568	85	47	0.1896
RL12.Test112	677	6	29864	12	99.8696	132	59	13.3792
RL12.Test37	5632	23	29054	46	97.1608	124	62	1.2271
RL12.Test56	919	43	22594	86	75.5576	76	59	7.5153
RL12.Test5	2510	23	27072	46	90.5327	152	56	3.0959
RL12.Test52	1339	28	11714	56	39.1733	74	44	2.9199
RL12.Test198	952	42	26729	84	89.3857	121	56	7.6976
RL12.Test164	11712	37	25488	74	85.2356	131	44	0.2273
RL12.Test34	7458	33	27456	66	91.8169	147	58	0.9723
RL12.Test192	10767	7	29805	14	99.6723	119	59	0.2688
RL12.Test124	3277	36	25534	74	85.3894	118	56	2.4005
RL12.Test118	2151	39	27355	78	91.4791	120	53	3.1365
RL12.Test188	221	47	22957	94	76.7716	121	56	28.9294
RL12.Test109	1394	31	21859	62	73.0997	129	44	4.2531
RL12.Test106	419	21	28410	42	95.0072	150	59	19.1469
RL12.Test65	1538	12	29251	24	97.8196	111	53	4.6542
RL12.Test33	265	11	29654	22	99.1673	164	56	27.3812
RL12.Test123	4619	36	26054	72	87.1284	121	47	1.3117
RL12.Test182	1047	14	29465	28	98.5353	139	53	6.0626
RL12.Test80	9190	18	28787	36	96.2679	104	47	0.5174
RL12.Test25	476	48	24177	96	80.8514	107	59	11.5360
RL12.Test163	9376	31	27968	62	93.5291	118	56	0.4840
RL12.Test29	9661	49	21662	98	72.4409	126	44	0.3811
RL12.Test179	2927	29	28533	58	95.4185	112	56	2.2841
RL12.Test176	12894	36	26052	72	87.1217	99	53	0.2218
RL12.Test69	2482	36	16037	72	53.6301	84	55	1.9920
RL12.Test84	1079	36	12172	72	40.7049	14	0	2.8151
RL12.Test180	577	3	29840	6	99.7893	123	59	12.3849
RL12.Test21	5824	39	16026	78	53.5933	76	35	0.7748
RL12.Test149	2510	31	28493	62	95.2848	110	53	2.6311
RL12.Test146	2943	13	29719	26	99.3847	139	56	2.6034
RL12.Test87	530	36	17263	72	57.7300	86	49	10.8760
RL12.Test61	2248	22	28816	44	96.3649	162	56	3.8286
RL12.Test30	943	20	7314	40	24.4591	36	44	2.2923
RL12.Test68	9362	33	28054	66	93.8167	139	57	0.4857
RL12.Test110	944	9	29711	18	99.3579	118	59	9.2666
RL12.Test83	11674	23	8297	46	27.7464	42	35	0.0733
RL12.Test152	6739	38	19060	76	63.7394	91	27	0.6072
RL12.Test28	8016	5	29558	10	98.8463	144	56	0.9272
RL12.Test158	8993	38	27262	76	91.1681	87	24	0.4982
RL12.Test190	875	44	16956	88	56.7033	79	50	5.4497
RL12.Test136	1541	28	27396	56	91.6162	117	56	4.1305
RL12.Test139	1840	4	29860	8	99.8562	149	56	4.2115
RL12.Test50	555	21	29357	42	98.1741	147	56	12.0372
RL12.Test191	373	36	10937	72	36.5749	44	18	6.8682
RL12.Test195	11358	16	4143	32	13.8548	16	0	0.0370
RL12.Test98	7409	17	29520	34	98.7192	122	54	1.0219
RL12.Test45	5022	25	29132	50	97.4217	142	30	1.3523
RL12.Test104	2443	27	28612	54	95.6827	107	59	2.9143
RL12.Test75	1257	31	27236	62	91.0812	145	56	4.9117
RL12.Test111	1950	10	29592	20	98.9600	158	56	4.4721
RL12.Test115	1491	20	28560	40	95.5088	128	59	5.6837
RL12.Test157	11588	34	26891	68	89.9274	126	56	0.3998
RL12.Test185	2004	41	25252	82	84.4464	142	56	2.8951
RL12.Test99	2203	31	26813	62	89.6666	123	56	2.3334
RL12.Test166	10072	34	26243	68	87.7604	111	53	0.4415
RL12.Test169	1938	27	27712	54	92.6730	143	56	2.5039
RL12.Test181	1824	18	29295	36	97.9668	123	62	4.0389
RL12.Test129	2131	30	27661	60	92.5024	162	56	3.3209
RL12.Test126	701	34	14199	68	47.4835	64	35	5.6612
RL12.Test91	520	49	21486	98	71.8523	108	46	12.0315
RL12.Test15	2564	36	25580	72	85.5433	121	56	1.9317
RL12.Test82	12248	46	19839	92	66.3445	107	56	0.3035
RL12.Test8	9144	27	27911	54	93.3385	140	56	0.4988
RL12.Test86	8767	39	22822	78	76.3201	98	56	0.4184
RL12.Test103	19295	37	17260	74	57.7200	89	53	0.1189
RL12.Test134	2372	29	28394	58	94.9537	113	53	3.1970
RL12.Test78	12489	45	24841	90	83.0719	137	56	0.3678
RL12.Test19	13354	39	23184	78	77.5307	109	56	0.3177
RL12.Test117	476	23	27545	46	92.1145	141	53	14.0652
