sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL8.Test110	1262	41	22151	82	74.0762	100	53	5.0439
RL8.Test85	2332	14	29535	28	98.7694	107	53	3.4243
RL8.Test129	341	46	23073	92	77.1595	115	56	18.6988
RL8.Test87	1027	6	1577	12	5.2737	6	26	0.3420
RL8.Test125	1346	20	29609	40	99.0168	137	54	6.2616
RL8.Test89	465	5	29864	10	99.8696	139	53	16.2480
RL8.Test13	1019	32	27355	64	91.4791	94	59	8.1763
RL8.Test113	564	39	28210	78	94.3384	143	53	14.3237
RL8.Test195	161	40	20294	80	67.8661	95	56	38.8469
RL8.Test76	549	19	28637	38	95.7663	158	59	11.7720
RL8.Test199	1948	18	5457	36	18.2490	32	26	0.9069
RL8.Test184	302	24	28660	48	95.8432	120	62	24.8181
RL8.Test28	235	44	17123	88	57.2618	63	53	21.5052
RL8.Test104	660	41	15420	82	51.5667	81	21	6.3502
RL8.Test20	3361	30	28340	60	94.7731	98	56	2.1877
RL8.Test179	927	7	29493	14	98.6289	146	56	8.6035
RL8.Test155	2546	17	29075	34	97.2310	132	59	2.6785
RL8.Test82	321	31	26144	62	87.4294	164	56	16.3629
RL8.Test175	7388	26	28570	52	95.5423	113	63	1.0283
RL8.Test159	844	38	16647	76	55.6700	85	44	6.2384
RL8.Test38	1023	39	26509	78	88.6500	121	30	6.6143
RL8.Test160	160	36	24221	72	80.9986	134	56	33.5423
RL8.Test132	8781	43	17675	86	59.1078	83	21	0.3269
RL8.Test141	92	36	13074	74	43.7214	72	44	22.7003
RL8.Test147	2764	15	29234	30	97.7628	109	53	2.7047
RL8.Test71	1001	33	11347	66	37.9460	27	18	2.8185
RL8.Test68	199	37	25955	74	86.7973	141	30	28.7453
RL8.Test163	1225	10	29701	20	99.3245	139	53	7.2446
RL8.Test60	492	16	5054	32	16.9013	21	26	3.3498
RL8.Test7	1455	24	28909	48	96.6759	127	56	4.9549
RL8.Test48	817	20	6169	40	20.6300	33	9	1.5945
RL8.Test40	11782	22	7696	44	25.7365	43	15	0.0680
RL8.Test164	388	45	24864	90	83.1488	116	59	21.2789
RL8.Test17	2586	34	24673	68	82.5101	79	53	1.7703
RL8.Test26	12483	20	28474	40	95.2212	149	56	0.2461
RL8.Test15	547	38	15520	76	51.9011	89	47	9.0658
RL8.Test70	1316	38	23519	76	78.6510	90	56	4.4746
RL8.Test4	86	17	29663	34	99.1974	119	53	56.0552
RL8.Test78	295	27	10022	56	33.5150	49	20	10.6362
RL8.Test61	830	34	11901	70	39.7987	34	18	3.9521
RL8.Test139	897	8	3624	16	12.1192	23	35	1.2980
RL8.Test36	1940	39	27076	78	90.5461	109	56	3.5351
RL8.Test19	941	33	27287	66	91.2517	94	53	6.7037
RL8.Test135	389	31	26373	62	88.1952	145	56	18.3173
RL8.Test41	20322	41	12666	82	42.3570	51	9	0.0763
RL8.Test6	862	22	8711	44	29.1309	29	35	3.0989
RL8.Test12	76	20	7053	40	23.5863	44	44	18.1743
RL8.Test146	4219	24	29103	48	97.3247	139	56	1.8989
RL8.Test103	4481	36	12530	72	41.9022	45	21	0.6467
RL8.Test66	1096	41	22949	82	76.7448	99	35	5.6136
RL8.Test122	237	27	9581	54	32.0403	69	47	12.2452
RL8.Test183	788	28	28533	56	95.4185	139	53	10.0089
RL8.Test21	826	40	25473	80	85.1854	117	9	9.2198
RL8.Test114	336	42	14561	84	48.6941	79	44	15.8490
RL8.Test3	11396	19	28057	38	93.8267	161	56	0.2505
RL8.Test46	780	35	24731	70	82.7041	140	58	10.0154
RL8.Test2	80	27	28612	54	95.6827	142	56	49.9774
RL8.Test31	7109	13	29475	26	98.5687	142	56	1.0964
RL8.Test100	1200	30	26811	60	89.6599	127	56	5.6326
RL8.Test192	13524	30	10774	60	36.0298	69	53	0.0875
RL8.Test180	6228	26	29021	52	97.0505	126	62	1.2055
RL8.Test172	881	40	18031	80	60.2983	77	44	6.5217
RL8.Test152	565	29	26594	58	88.9342	114	50	13.5407
RL8.Test62	5813	32	28033	64	93.7464	145	56	1.2177
RL8.Test162	1616	28	27941	56	93.4388	138	47	5.1017
RL8.Test130	8076	50	20484	100	68.5015	87	33	0.6000
RL8.Test42	8215	33	26778	66	89.5495	138	53	0.4948
RL8.Test200	1058	41	22152	82	74.0795	114	47	6.7624
