sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL14.Test100	978	5	29816	10	99.7091	135	56	6.3999
RL14.Test178	7718	36	13501	72	45.1493	60	18	0.4041
RL14.Test195	1596	43	23757	86	79.4469	111	53	4.4644
RL14.Test192	8083	5	29864	10	99.8696	133	56	0.8931
RL14.Test86	11456	9	29834	18	99.7693	127	53	0.2621
RL14.Test83	903	27	26435	54	88.4025	103	21	8.2008
RL14.Test150	17766	24	28928	48	96.7395	126	65	0.2043
RL14.Test141	1410	41	12983	82	43.4170	71	53	2.8124
RL14.Test98	11943	15	29581	30	98.9232	150	53	0.2591
RL14.Test118	9321	37	16926	74	56.6030	96	47	0.2932
RL14.Test92	1053	38	25022	76	83.6772	128	44	6.2346
RL14.Test9	1741	32	26729	64	89.3857	91	44	3.9422
RL14.Test196	3199	23	29308	46	98.0102	91	53	2.2850
RL14.Test39	410	38	26653	78	89.1315	148	56	20.8024
RL14.Test84	7963	2	29816	4	99.7091	157	56	0.5602
RL14.Test128	1281	22	27804	44	92.9806	138	56	6.3560
RL14.Test91	1883	33	27296	66	91.2818	93	59	3.6579
RL14.Test10	881	25	29060	50	97.1809	160	56	11.1918
RL14.Test188	1308	39	19410	78	64.9099	96	47	3.4934
RL14.Test15	441	47	26148	94	87.4427	132	47	15.3638
RL14.Test97	882	41	17347	82	58.0109	76	18	4.6724
RL14.Test161	2358	1	29860	2	99.8562	124	53	3.0187
RL14.Test131	1971	36	20955	72	70.0766	105	56	3.0367
RL14.Test151	3064	12	29451	24	98.4884	156	56	2.4432
RL14.Test112	1060	27	29049	54	97.1441	148	56	8.1489
RL14.Test115	1407	22	28755	44	96.1609	144	56	4.9246
RL14.Test176	3848	25	28872	50	96.5522	100	62	2.0112
RL14.Test101	1340	21	29273	42	97.8932	104	59	4.8531
RL14.Test37	1605	15	29096	32	97.3013	136	56	5.1752
RL14.Test31	1405	26	28672	52	95.8834	145	30	5.8692
RL14.Test13	6224	16	29084	32	97.2611	126	62	1.0654
RL14.Test198	2625	35	26839	70	89.7535	91	53	2.4646
RL14.Test116	8052	14	29526	28	98.7393	145	56	0.9483
RL14.Test16	12793	42	17724	84	59.2716	87	44	0.1524
RL14.Test172	2008	10	29454	20	98.4985	147	56	4.1110
RL14.Test175	3037	45	17810	90	59.5592	79	21	1.6115
RL14.Test186	11889	36	26667	72	89.1783	122	47	0.2357
RL14.Test99	14011	31	28509	62	95.3383	126	56	0.2357
