sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL6.Test21	225	14	5022	28	16.7943	23	9	6.9648
RL6.Test16	475	37	14219	74	47.5504	80	18	9.6995
RL6.Test64	424	46	15779	92	52.7673	79	18	11.7658
RL6.Test168	302	23	7016	46	23.4625	41	9	6.6947
RL6.Test134	77	47	25650	94	85.7773	111	53	73.2428
RL6.Test50	591	44	22389	88	74.8721	100	56	10.7848
RL6.Test40	146	44	21614	88	72.2804	92	47	40.2540
RL6.Test156	326	9	2219	18	7.4207	18	9	1.9404
RL6.Test68	1135	46	26394	92	88.2654	102	47	5.2073
RL6.Test165	2068	23	7464	46	24.9607	41	35	0.6843
RL6.Test32	219	7	2476	14	8.2801	5	0	4.0190
RL6.Test53	1505	5	1550	10	5.1834	2	0	0.3110
RL6.Test104	492	26	9677	52	32.3613	58	53	6.0883
RL6.Test15	957	41	15392	82	51.4731	92	18	4.7310
RL6.Test7	383	37	24383	74	81.5403	146	56	15.9568
RL6.Test111	3138	44	15992	88	53.4796	39	9	1.4238
RL6.Test43	504	39	22050	78	73.7384	109	18	14.2249
RL6.Test110	5167	44	23587	88	78.8784	73	30	1.0813
RL6.Test172	1469	40	22507	80	75.2667	115	56	4.5968
RL6.Test155	456	38	12902	76	43.1462	41	35	9.3072
RL6.Test158	166	41	17303	82	57.8638	68	59	24.4111
RL6.Test166	169	48	20685	96	69.1737	81	59	39.6636
RL6.Test30	1306	26	8305	52	27.7731	22	18	1.9582
RL6.Test173	235	50	21298	100	71.2236	111	18	27.9807
RL6.Test52	76	35	11910	70	39.8288	70	44	22.6046
RL6.Test77	58	4	1268	8	4.2404	8	35	2.6838
RL6.Test49	174	26	27926	52	93.3886	89	56	38.6908
RL6.Test186	733	4	1529	8	5.1132	10	9	0.6123
RL6.Test65	1987	47	20911	94	69.9294	111	47	3.2453
RL6.Test59	941	29	26597	58	88.9443	116	44	8.6550
RL6.Test42	176	39	20768	78	69.4512	109	44	35.7658
RL6.Test146	655	6	1653	12	5.5279	5	0	0.7673
RL6.Test91	2643	44	15523	88	51.9112	57	18	1.6382
RL6.Test188	440	39	19986	78	66.8361	96	56	14.8050
RL6.Test14	6689	34	26239	68	87.7470	106	36	0.9597
RL6.Test66	725	9	2393	18	8.0025	11	9	0.9898
RL6.Test177	3031	39	16555	78	55.3623	74	44	1.1733
RL6.Test185	558	30	10605	60	35.4647	54	9	5.8666
RL6.Test81	793	28	11711	56	39.1633	44	35	4.7323
RL6.Test179	884	48	20956	96	70.0799	91	33	6.8845
RL6.Test33	949	32	26532	64	88.7269	125	56	8.6799
RL6.Test145	49	5	1185	10	3.9628	6	0	4.8939
RL6.Test124	3404	3	931	6	3.1134	6	26	0.0602
RL6.Test18	9970	28	11203	56	37.4645	77	9	0.1937
RL6.Test148	212	38	21730	76	72.6683	117	47	31.6023
RL6.Test194	1334	26	26982	52	90.2317	131	53	6.3864
RL6.Test102	132	23	6331	46	21.1718	24	9	17.5168
RL6.Test3	5971	22	27955	44	93.4856	157	56	1.0958
