sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
CF24220285-8D6BXX1P1F1-N002JQ84-S250081308-1-NA	1	1	220	2	0.7357	0	0	100.0000
S217RT0481-R-S250075378-1-NA	1522	1	228	2	0.7625	0	0	0.0470
PB23660369-8D6AXX1LXF1-N002KX2P-S250041894-1-NA	4	1	258	2	0.8628	0	0	23.8447
N117RE0115-R-S250074677-1-NA	189	1	279	2	0.9330	3	0	0.4077
MDL001-Q24C23030015L-RNA-C19-20230113-H7WHKBGXM-1-NA	5	1	314	2	1.0501	2	0	22.9197
CF234D0113-8D6AXX1MXF1-N002J019-S250034250-1-NA	4	2	403	4	1.3477	0	0	45.4340
ZZ22JS021652-1R-1L-UDB-184_UDB-184-S250028518-1-NA	17	2	405	4	1.3544	4	0	8.8855
MDL001-Q24C22520006L-RNA-D11-20221223-H7W7YBGXM-1-NA	1	1	417	2	1.3945	2	9	100.0000
E217RT0460-R-S250074260-1-NA	3	2	439	4	1.4681	0	0	64.3695
CF235U0224-8D6AXX1LXF1-N002J019-S250043131-1-NA	2	2	457	4	1.5283	0	0	100.0000
N117RN0130-R-S250063134-1-NA	20	2	655	4	2.1904	4	9	5.8177
M117RT0327-R-S250062894-1-NA	112	3	675	6	2.2573	5	9	1.6628
E218YF0411-R-S250079223-1-NA	11	3	774	6	2.5884	0	26	21.7379
ZDH221200431R-HWCTMAFX3-1-NA	235	3	787	6	2.6318	4	0	0.6561
ZDH23061600041R-HG22NBGXT-1-NA	506	5	1261	10	4.2170	9	0	0.9478
ZZ22JS062980-AD-1R-1L-UDB-138_UDB-138-S250059561-1-NA	103	5	1396	10	4.6684	4	9	3.9574
N218YF0176-R-S250089322-1-NA	18	7	1906	14	6.3739	15	9	34.9549
ZZ24JS11864-AD-1R-1L-UDB-164_UDB-164-S250083910-1-NA	5548	7	2217	14	7.4140	17	9	0.0994
ZDH221200131R-HWFHGAFX3-1-NA	727	4	2302	8	7.6982	14	35	1.0081
MDL001-Q09C23030031L-RNA-A07-20230110-HL7VNBGXM-1-NA	32	11	3246	22	10.8551	16	0	30.4760
M117RE0443-R-S250080941-1-NA	19	13	3362	26	11.2430	21	9	56.2018
ZZMAX83650-1R-1L-UDB-169_UDB-169-S250028725-1-NA	14	9	3411	18	11.4069	22	35	73.5833
MDL001-Q11C23030029L-RNA-B19-20230110-HL3M5BGXM-1-NA	14	14	3942	28	13.1826	15	9	100.0000
CF23620301-8D6AXX1LXF1-N002J019-S250042228-1-NA	803	17	5281	34	17.6604	6	0	1.5178
MDL001-Q24C22520013L-RNA-D20-20221224-H7YCKBGXM-1-NA	54	18	5410	36	18.0918	45	18	30.6642
ZZMAX119816-1R-1L-UDB-178_UDB-178-S250032450-1-NA	66	20	6627	40	22.1617	35	9	32.0158
CF236B0251-8D6AXX1LXF1-N002KX2P-S250042393-1-NA	1635	23	7045	46	23.5595	5	0	1.0546
ZZMAX153830-AD-1R-1L-UDB-172_UDB-172-S250053982-1-NA	37	24	7949	50	26.5826	55	21	71.6893
M217RT0115-R-S250065216-1-NA	47	24	8097	48	27.0776	63	47	54.9013
E217RE0715-R-S250079783-1-NA	24	24	8241	48	27.5591	59	44	99.9149
M217RT0156-R-S250072833-1-NA	35	24	8259	48	27.6193	49	21	68.5182
S217RN0396-R-S250075586-1-NA	29	27	8707	54	29.1175	46	9	94.7682
WHMAX12180001-1R-1L-UDB-170_UDB-170-S250043500-1-NA	86	26	8717	52	29.1509	48	18	29.3193
ZZMAX143318-AD-1R-1L-UDB-97_UDB-97-S250050241-1-NA	33	23	9482	46	31.7092	66	9	79.9261
ZDH23061700052R-HG3GJBGXT-1-NA	272	24	10811	48	36.1536	65	27	13.3000
N117RN0117-R-S250076533-1-NA	50	33	10872	66	36.3576	67	44	72.9053
ZZ22JS022632-1R-1L-UDB-107_UDB-107-S250028603-1-NA	862	32	12394	64	41.4473	50	35	4.6161
ZZ22JS062796-AD-1R-1L-UDB-183_UDB-183-S250075840-1-NA	42	32	13757	64	46.0054	113	53	49.3852
CF231D0159-8B6AXX1LXF1-N002L001-S250029157-1-NA	68	43	14273	86	47.7310	8	0	66.1787
