sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL5.Test34	160	40	20649	80	69.0533	101	30	38.6651
RL5.Test37	1753	13	29350	26	98.1507	100	62	4.4108
RL5.Test18	216	2	685	4	2.2907	8	9	0.8954
RL5.Test120	2135	4	949	8	3.1736	4	0	0.0857
RL5.Test7	205	5	1271	10	4.2504	9	9	2.2526
RL5.Test166	57	31	11908	62	39.8221	69	47	60.1684
RL5.Test76	630	43	14069	86	47.0488	40	35	8.2275
RL5.Test83	415	4	1156	8	3.8658	7	26	0.9519
RL5.Test2	326	45	19114	90	63.9200	127	53	14.8964
RL5.Test26	255	33	26897	66	89.9475	148	56	29.3325
RL5.Test40	139	44	20619	88	68.9529	116	21	37.3155
RL5.Test167	1306	1	209	2	0.6989	3	9	0.0494
RL5.Test61	77	44	20056	88	67.0702	97	47	67.5154
RL5.Test80	88	40	16368	80	54.7370	78	56	53.5068
RL5.Test163	236	13	3850	26	12.8750	20	0	5.5803
RL5.Test162	148	47	17954	94	60.0408	26	0	41.1853
RL5.Test185	938	14	6259	28	20.9310	18	35	2.0194
RL5.Test145	11645	15	4170	30	13.9451	19	9	0.0371
RL5.Test175	930	24	7784	48	26.0308	49	18	1.8879
RL5.Test190	278	46	17989	92	60.1578	93	18	19.1382
RL5.Test96	617	11	3582	22	11.9787	30	9	1.8600
RL5.Test9	70	45	24507	90	81.9550	96	24	74.4538
RL5.Test14	1053	33	11261	66	37.6584	59	18	3.2892
RL5.Test38	46	44	14861	88	49.6974	61	15	96.0291
RL5.Test17	83	48	20994	96	70.2070	104	21	67.2760
RL5.Test65	221	45	17870	90	59.7599	60	18	24.5283
RL5.Test150	45	26	8680	52	29.0272	60	44	57.4623
RL5.Test135	237	22	8238	44	27.5491	42	44	8.5767
RL5.Test10	58	26	11861	52	39.6649	76	9	57.8174
RL5.Test88	347	4	1038	8	3.4712	4	0	0.6897
RL5.Test69	33	9	2497	18	8.3503	25	9	19.3589
RL5.Test105	1882	31	10685	62	35.7322	52	12	1.7568
RL5.Test13	165	2	426	4	1.4246	7	9	0.9229
RL5.Test48	86	45	22709	90	75.9422	100	24	61.3625
RL5.Test56	179	42	19137	84	63.9969	115	54	30.1628
RL5.Test87	80	34	11685	68	39.0763	78	47	48.5528
RL5.Test84	228	31	12390	62	41.4340	44	46	15.1549
RL5.Test5	603	36	14649	72	48.9884	81	35	7.6779
RL5.Test44	146	9	3492	18	11.6778	23	35	8.3355
RL5.Test33	93	33	12846	66	42.9589	57	35	29.2616
RL5.Test47	1436	42	17780	84	59.4589	99	56	3.8453
RL5.Test169	55	9	2386	18	7.9791	18	9	16.5648
RL5.Test30	11538	7	2388	14	7.9858	13	35	0.0211
RL5.Test15	609	1	219	2	0.7324	0	0	0.0977
RL5.Test64	918	52	20637	104	69.0131	84	38	5.3732
RL5.Test100	98	1	223	2	0.7457	0	0	0.7751
RL5.Test67	125	40	15078	80	50.4230	84	47	29.8265
RL5.Test31	65	2	469	4	1.5684	6	0	2.7779
RL5.Test82	29	3	1042	6	3.4846	3	0	13.3727
RL5.Test42	168	47	16000	94	53.5063	64	10	22.0085
RL5.Test155	63	13	4088	26	13.6709	17	9	22.9543
RL5.Test164	1218	32	27827	64	93.0576	139	56	5.5240
RL5.Test130	1613	30	13626	60	45.5673	88	9	2.6617
RL5.Test11	68	39	11794	78	39.4409	33	9	59.6466
RL5.Test168	2960	2	655	4	2.1904	4	9	0.0466
RL5.Test49	226	33	11176	66	37.3742	55	35	13.4943
RL5.Test35	340	42	25229	84	84.3695	125	47	15.5930
RL5.Test115	1319	2	424	4	1.4179	4	0	0.1037
RL5.Test68	60	41	17489	82	58.4858	91	47	76.1208
RL5.Test180	1902	32	13204	64	44.1561	81	47	1.2398
RL5.Test12	219	22	27874	44	93.2147	140	56	26.2815
RL5.Test85	48	31	9073	62	30.3414	49	21	66.0028
RL5.Test125	64	56	21991	112	73.5411	96	50	88.9570
RL5.Test39	231	40	24118	80	80.6541	59	53	28.2514
RL5.Test45	5653	36	14520	72	48.5570	71	18	0.6466
RL5.Test63	710	30	10770	60	36.0165	68	53	3.5007
RL5.Test19	983	43	14984	86	50.1087	77	44	3.9335
RL5.Test32	43	17	4662	34	15.5904	17	4	19.9649
RL5.Test195	3030	31	10506	62	35.1336	27	9	0.7055
RL5.Test140	422	44	14474	88	48.4032	8	0	12.5141
RL5.Test60	944	46	21176	92	70.8156	100	56	4.9928
RL5.Test161	675	34	12619	68	42.1998	76	18	5.3401
RL5.Test81	1658	52	22357	104	74.7651	44	0	4.1483
RL5.Test170	773	27	9520	54	31.8363	51	9	2.8427
RL5.Test41	10740	35	13347	70	44.6343	73	44	0.2054
RL5.Test200	649	2	602	4	2.0132	4	0	0.2739
RL5.Test156	9456	3	790	6	2.6419	5	0	0.0140
RL5.Test25	1346	6	2314	12	7.7384	12	9	0.5225
RL5.Test91	10636	5	1671	10	5.5881	4	9	0.0151
RL5.Test199	587	41	25714	82	85.9914	120	53	14.4462
RL5.Test157	789	8	2558	16	8.5543	20	18	0.9439
RL5.Test148	639	10	3871	20	12.9452	24	35	2.0693
RL5.Test152	843	30	12148	60	40.6247	44	46	3.1522
RL5.Test153	1985	31	14996	62	50.1488	93	18	2.3956
RL5.Test184	285	21	29109	42	97.3447	119	33	24.8457
RL5.Test178	94	17	5344	34	17.8711	30	0	9.1621
