sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL7.Test49	1024	37	22905	74	76.5977	100	56	6.4405
RL7.Test18	397	22	28464	44	95.1878	144	53	19.1627
RL7.Test181	748	36	25845	72	86.4295	112	56	9.7485
RL7.Test76	356	28	9394	56	31.4149	74	47	6.2799
RL7.Test64	678	53	16548	106	55.3389	58	18	5.2966
RL7.Test67	7166	19	29175	38	97.5655	146	62	1.0606
RL7.Test133	5457	32	16474	64	55.0915	69	60	0.7029
RL7.Test107	5920	20	29400	40	98.3179	133	56	1.2530
RL7.Test130	312	23	6993	46	23.3856	29	9	6.0475
RL7.Test198	319	37	14084	74	47.0990	99	44	15.1192
RL7.Test127	2241	3	1071	6	3.5816	4	9	0.0916
RL7.Test196	966	50	19338	100	64.6691	74	21	5.8461
RL7.Test200	10775	26	27698	52	92.6262	160	56	0.4425
RL7.Test68	84	1	228	2	0.7625	4	9	1.0232
RL7.Test93	232	37	17467	74	58.4122	90	47	26.2473
RL7.Test194	391	38	26422	76	88.3590	153	56	18.0893
RL7.Test55	1261	40	23068	80	77.1428	109	47	6.0199
RL7.Test135	935	14	4850	28	16.2191	31	9	1.1517
RL7.Test14	5285	29	25840	58	86.4127	81	50	1.1363
RL7.Test171	12168	36	26625	72	89.0379	116	50	0.2323
RL7.Test112	5740	39	14942	78	49.9682	58	28	0.6555
RL7.Test17	288	38	14788	76	49.4532	68	18	15.8354
RL7.Test141	465	9	2593	18	8.6714	5	26	1.8811
RL7.Test159	392	43	18940	86	63.3381	99	47	15.7549
RL7.Test43	864	24	8123	48	27.1645	24	35	2.9255
RL7.Test61	145	55	19102	110	63.8799	63	35	42.7877
RL7.Test182	228	35	13206	70	44.1628	60	18	18.7668
RL7.Test52	46	29	28587	58	95.5991	155	27	84.8000
RL7.Test193	5774	31	28545	62	95.4586	128	36	1.2486
RL7.Test157	961	42	26141	84	87.4193	117	59	8.1620
RL7.Test138	3108	43	23888	86	79.8850	112	47	1.5918
RL7.Test190	2521	36	17899	72	59.8569	94	53	2.1316
RL7.Test1	952	42	25928	84	86.7070	103	53	8.5468
RL7.Test26	628	2	523	4	1.7490	3	0	0.2888
RL7.Test86	499	46	21696	92	72.5546	73	47	11.8872
RL7.Test136	269	35	16550	70	55.3456	98	27	13.0574
RL7.Test6	787	14	5492	28	18.3661	21	35	1.9787
RL7.Test134	1560	23	28742	46	96.1174	135	56	5.5398
RL7.Test142	3456	10	3345	20	11.1862	11	26	0.2991
RL7.Test111	1672	43	18730	86	62.6359	37	41	2.7155
